Região,Área,Pagamento,Opinião,Renda,Idade
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,18
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,18
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,18
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,19
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,19
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1,19
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,19
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,19
Jaquereçaba,Educacional,Incentivos federais,Muito insatisfeito,1,19
Aratibutantã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,20
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,20
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,20
Baependinha,Educacional,Incentivos federais,Muito insatisfeito,1,20
Baependinha,Educacional,Incentivos federais,Insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Humanidades,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Administração,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Muito insatisfeito,1,20
Itamaracanã,Educacional,Incentivos federais,Insatisfeito,1,20
Jaquereçaba,Humanidades,Incentivos federais,Muito insatisfeito,1,20
Aratibutantã,Educacional,Bolsas de estudo,Muito insatisfeito,1.01,20
Baependinha,Administração,Bolsas de estudo,Muito insatisfeito,1.01,20
